frame,error_m
0.000000000000000000e+00,3.437005314152316942e+02
1.000000000000000000e+00,3.434785257853837948e+02
2.000000000000000000e+00,3.430617092428038291e+02
3.000000000000000000e+00,3.426383426648428099e+02
4.000000000000000000e+00,3.422175338023491804e+02
5.000000000000000000e+00,3.417661253000326269e+02
6.000000000000000000e+00,3.412990185788004851e+02
7.000000000000000000e+00,3.408653376597478655e+02
8.000000000000000000e+00,3.404378767238089836e+02
9.000000000000000000e+00,3.400945541742527212e+02
1.000000000000000000e+01,3.397189763167735350e+02
1.100000000000000000e+01,3.393193613631791550e+02
1.200000000000000000e+01,3.389230826231914193e+02
1.300000000000000000e+01,3.386429503740299083e+02
1.400000000000000000e+01,3.395911881447498786e+02
1.500000000000000000e+01,3.391781311998282717e+02
1.600000000000000000e+01,3.387677790736497627e+02
1.700000000000000000e+01,3.383707615990442719e+02
1.800000000000000000e+01,3.390092321777585767e+02
1.900000000000000000e+01,3.385971207155205320e+02
2.000000000000000000e+01,3.381896270046231621e+02
2.100000000000000000e+01,3.378012592599746426e+02
2.200000000000000000e+01,3.373818581335854674e+02
2.300000000000000000e+01,3.381152758545217125e+02
2.400000000000000000e+01,3.387533091229765887e+02
2.500000000000000000e+01,3.382506795109483164e+02
2.600000000000000000e+01,3.377721287664948022e+02
2.700000000000000000e+01,3.371830316439483113e+02
2.800000000000000000e+01,3.366031194383232901e+02
2.900000000000000000e+01,3.360586811936834692e+02
3.000000000000000000e+01,3.355201885813876288e+02
3.100000000000000000e+01,3.349986459823534801e+02
3.200000000000000000e+01,3.344832124255661938e+02
3.300000000000000000e+01,3.339882373391490660e+02
3.400000000000000000e+01,3.335011018144218724e+02
3.500000000000000000e+01,3.329479821827155774e+02
3.600000000000000000e+01,3.324051063492648836e+02
3.700000000000000000e+01,3.319507623212400063e+02
3.800000000000000000e+01,3.314598904523281249e+02
3.900000000000000000e+01,3.309745626260231575e+02
4.000000000000000000e+01,3.305074641874379608e+02
4.100000000000000000e+01,3.300650173560445069e+02
4.200000000000000000e+01,3.295951732579018199e+02
4.300000000000000000e+01,3.291318796342779365e+02
4.400000000000000000e+01,3.286707550457762181e+02
4.500000000000000000e+01,3.281950844918522421e+02
4.600000000000000000e+01,3.277504290621769769e+02
4.700000000000000000e+01,3.272693093598822998e+02
4.800000000000000000e+01,3.267822818313109678e+02
4.900000000000000000e+01,3.263154357653542093e+02
5.000000000000000000e+01,3.258904445941199128e+02
5.100000000000000000e+01,3.254610190117575144e+02
5.200000000000000000e+01,3.250228069784860736e+02
5.300000000000000000e+01,3.245655179315650116e+02
5.400000000000000000e+01,3.241586304858399217e+02
5.500000000000000000e+01,3.236867370908581165e+02
5.600000000000000000e+01,3.232142361089011047e+02
5.700000000000000000e+01,3.226622124043986446e+02
5.800000000000000000e+01,3.221268935782661629e+02
5.900000000000000000e+01,3.216457742202076133e+02
6.000000000000000000e+01,3.211590510497440505e+02
6.100000000000000000e+01,3.207655488430690980e+02
6.200000000000000000e+01,3.213890710816095293e+02
6.300000000000000000e+01,3.209597317398320797e+02
6.400000000000000000e+01,3.205286482067298834e+02
6.500000000000000000e+01,3.200759251028705989e+02
6.600000000000000000e+01,3.197462213271750215e+02
6.700000000000000000e+01,3.191459181449080234e+02
6.800000000000000000e+01,3.185489359022403164e+02
6.900000000000000000e+01,3.191124838368835412e+02
7.000000000000000000e+01,3.186073177444476414e+02
7.100000000000000000e+01,3.180926638457256104e+02
7.200000000000000000e+01,3.175733467629693223e+02
7.300000000000000000e+01,3.170313580453295685e+02
7.400000000000000000e+01,3.164289792024917460e+02
7.500000000000000000e+01,3.158364588424561816e+02
7.600000000000000000e+01,3.152393461528045577e+02
7.700000000000000000e+01,3.146796517265518673e+02
7.800000000000000000e+01,3.141006446467424666e+02
7.900000000000000000e+01,3.135285094956642524e+02
8.000000000000000000e+01,3.129491631178182161e+02
8.100000000000000000e+01,3.124554997098512672e+02
8.200000000000000000e+01,3.118519166572400536e+02
8.300000000000000000e+01,3.112169121471501967e+02
8.400000000000000000e+01,3.105765000184814539e+02
8.500000000000000000e+01,3.099494614565647339e+02
8.600000000000000000e+01,3.093134652519721612e+02
8.700000000000000000e+01,3.086588460110170331e+02
8.800000000000000000e+01,3.079965786931734328e+02
8.900000000000000000e+01,3.073545884629929219e+02
9.000000000000000000e+01,3.067246062651831267e+02
9.100000000000000000e+01,3.060120603142549385e+02
9.200000000000000000e+01,3.052865778455347368e+02
9.300000000000000000e+01,3.046012644617129013e+02
9.400000000000000000e+01,3.039290244769309766e+02
9.500000000000000000e+01,3.032502114019703185e+02
9.600000000000000000e+01,3.025704891022651850e+02
9.700000000000000000e+01,3.019682996287422725e+02
9.800000000000000000e+01,3.012538223001014330e+02
9.900000000000000000e+01,3.005575280533020646e+02
1.000000000000000000e+02,2.998690929088649000e+02
1.010000000000000000e+02,2.992040754236193152e+02
1.020000000000000000e+02,2.985270077037536680e+02
1.030000000000000000e+02,2.979353640620443571e+02
1.040000000000000000e+02,2.973664271659463338e+02
1.050000000000000000e+02,2.967293302098016738e+02
1.060000000000000000e+02,2.961003489769248063e+02
1.070000000000000000e+02,2.954725064391789715e+02
1.080000000000000000e+02,2.948706629158227202e+02
1.090000000000000000e+02,2.943054133559938350e+02
1.100000000000000000e+02,2.936942547089939808e+02
1.110000000000000000e+02,2.933700369520765889e+02
1.120000000000000000e+02,2.930849125494577265e+02
1.130000000000000000e+02,2.928016181646279961e+02
1.140000000000000000e+02,2.924533777702839075e+02
1.150000000000000000e+02,2.922024163707795310e+02
1.160000000000000000e+02,2.919920700550517836e+02
1.170000000000000000e+02,2.917905587461240202e+02
1.180000000000000000e+02,2.916475109557289898e+02
1.190000000000000000e+02,2.915542695290201323e+02
1.200000000000000000e+02,2.914971731115431908e+02
1.210000000000000000e+02,2.913657937300079084e+02
1.220000000000000000e+02,2.913143366870033333e+02
1.230000000000000000e+02,2.913075512237609814e+02
1.240000000000000000e+02,2.913278510850149701e+02
1.250000000000000000e+02,2.913988831933561983e+02
1.260000000000000000e+02,2.914394919684085608e+02
1.270000000000000000e+02,2.915455066605853176e+02
1.280000000000000000e+02,2.916826476698738020e+02
1.290000000000000000e+02,2.918194133011404006e+02
1.300000000000000000e+02,2.919772416151354832e+02
1.310000000000000000e+02,2.921068245224541897e+02
1.320000000000000000e+02,2.922620355062916815e+02
1.330000000000000000e+02,2.924386479262191756e+02
1.340000000000000000e+02,2.926297614267426752e+02
1.350000000000000000e+02,2.928664740702295148e+02
1.360000000000000000e+02,2.931263637395809383e+02
1.370000000000000000e+02,2.934305425710576287e+02
1.380000000000000000e+02,2.937094520819946410e+02
1.390000000000000000e+02,2.939803547821064171e+02
1.400000000000000000e+02,2.942647093537312344e+02
1.410000000000000000e+02,2.946448992761196450e+02
1.420000000000000000e+02,2.953288162329104125e+02
1.430000000000000000e+02,2.957266806546454063e+02
1.440000000000000000e+02,2.961378912593793871e+02
1.450000000000000000e+02,2.964821061665093112e+02
1.460000000000000000e+02,2.969367466295417444e+02
1.470000000000000000e+02,2.973589163698594007e+02
1.480000000000000000e+02,2.977945993993758975e+02
1.490000000000000000e+02,2.980439741932125344e+02
1.500000000000000000e+02,2.985142219131938646e+02
1.510000000000000000e+02,2.990051642900193656e+02
1.520000000000000000e+02,2.994999266708716164e+02
1.530000000000000000e+02,2.999339924144562133e+02
1.540000000000000000e+02,3.003796074084405063e+02
1.550000000000000000e+02,3.007326401236637139e+02
1.560000000000000000e+02,3.010844793099307708e+02
1.570000000000000000e+02,3.014954797680115917e+02
1.580000000000000000e+02,3.019403928605172496e+02
1.590000000000000000e+02,3.023751887350385346e+02
